mu,approximation of 1 or out of range
4,3.999991999970652
8,3.999983999985419
12,3.999976000038357
16,3.999967999972245
20,3.999959999994118
24,3.999952000379058
28,3.999944000331804
32,3.999935999986123
36,3.999928000563662
40,3.999919999997067
44,3.999912000877323
48,3.999904000758742
52,3.999896001245712
56,3.999888002237839
60,3.999880002398010
64,3.999871999993060
68,3.999864001086287
72,3.999856001145823
76,3.999848001214486
80,3.999839999994449
84,3.999832003358568
88,3.999824005630531
92,3.999816007358474
96,3.999808006139177
100,3.999799999995560
104,3.999792002494900
108,3.999784005611742
112,3.999776010747519
116,3.999768008350747
120,3.999760004798998
124,3.999752014878240
128,3.999743999996531
132,3.999736008446929
136,3.999728002175196
140,3.999720005599121
144,3.999712002300898
148,3.999704010654900
